ID,startMs,endMs,text
99xBw2-M3_Q,107939,109500,allows you to support a population over
99xBw2-M3_Q,109500,111840,a million you no longer have a million
99xBw2-M3_Q,111840,113340,people living there one way or the other
99xBw2-M3_Q,113340,115799,to that end Zion on geopolitics that's
99xBw2-M3_Q,115799,117619,the firm that's bringing you all of this
99xBw2-M3_Q,117619,119939,chooses a different charity every few
99xBw2-M3_Q,119939,121560,months right now we're going with Med
99xBw2-M3_Q,121560,123540,share specifically because of the
99xBw2-M3_Q,123540,126540,Ukrainian fund medshare provides medical
99xBw2-M3_Q,126540,128520,assistance communities who for whatever
99xBw2-M3_Q,128520,130259,reason are unable to provide it
99xBw2-M3_Q,130259,132239,themselves so not simply places that
99xBw2-M3_Q,132239,134040,need medical assistance that's a long
99xBw2-M3_Q,134040,136080,list places that are down on their luck
99xBw2-M3_Q,136080,138360,because of factors beyond their control
99xBw2-M3_Q,138360,140340,places that normally would be able to
99xBw2-M3_Q,140340,141959,provide for themselves who just need a
99xBw2-M3_Q,141959,144480,helping hand for the moment uh to that
99xBw2-M3_Q,144480,146640,end all of our sales from all of our
99xBw2-M3_Q,146640,149099,books will be going to Med share until
99xBw2-M3_Q,149099,150480,at least the end of the year and then
99xBw2-M3_Q,150480,151860,we'll of course reassess when we get to
99xBw2-M3_Q,151860,153840,January based on how the war is but to
99xBw2-M3_Q,153840,154739,give you an idea of what you're getting
99xBw2-M3_Q,154739,157260,into the first book Is Here is The
99xBw2-M3_Q,157260,159300,Accidental superpower this one's now 10
99xBw2-M3_Q,159300,161519,years old but it is the first major
99xBw2-M3_Q,161519,163739,publication that called for the
99xBw2-M3_Q,163739,166200,inevitability of a Russian assault on
99xBw2-M3_Q,166200,167940,Ukraine and the why and the how and the
99xBw2-M3_Q,167940,172200,where so solid starting point next up is
99xBw2-M3_Q,172200,175080,the absent superpower while this is
99xBw2-M3_Q,175080,178019,majority and energy book there is an
99xBw2-M3_Q,178019,181560,entire section in it called Russia's
99xBw2-M3_Q,181560,184080,Twilight War which talks about why the
99xBw2-M3_Q,184080,185099,Russians are doing what they're doing
99xBw2-M3_Q,185099,188519,right now and why Ukraine is really only
99xBw2-M3_Q,188519,190560,at the first step in a multi-step
99xBw2-M3_Q,190560,194519,military operation uh big fat section on
99xBw2-M3_Q,194519,196200,specifically what's going on now in
99xBw2-M3_Q,196200,197519,energy markets and what you should
99xBw2-M3_Q,197519,200640,expect as the Russian energy output
99xBw2-M3_Q,200640,204000,simply falls off the market altogether
99xBw2-M3_Q,204000,206580,third up get a little bit more recent
99xBw2-M3_Q,206580,207720,here this one's only three years old
99xBw2-M3_Q,207720,209459,this is just United Nations there's a
99xBw2-M3_Q,209459,211019,big fat chapter in here on Russia
99xBw2-M3_Q,211019,214260,specifically uh and explains why the
99xBw2-M3_Q,214260,216000,Russians are going to make one last
99xBw2-M3_Q,216000,218760,grand grab for Empire before the whole
99xBw2-M3_Q,218760,220739,system falls apart on them
99xBw2-M3_Q,220739,222959,and then finally most recently coming
99xBw2-M3_Q,222959,226019,out in June the end of the world is just
99xBw2-M3_Q,226019,228180,the beginning where the others are the
99xBw2-M3_Q,228180,230459,rise and fall of great Nations kind of
99xBw2-M3_Q,230459,232140,books this one's more on the economic
99xBw2-M3_Q,232140,234959,After Effects so in the aftermath of the
99xBw2-M3_Q,234959,237420,Ukraine war what happens to Global
99xBw2-M3_Q,237420,239220,energy in the aftermath of a Chinese
99xBw2-M3_Q,239220,240780,collapse what happens to Global
99xBw2-M3_Q,240780,243480,manufacturing and transport anyway all
99xBw2-M3_Q,243480,246239,sales all four books until at least the
99xBw2-M3_Q,246239,247680,end of the year I think I'm supposed to
99xBw2-M3_Q,247680,249299,say here that they all make great
99xBw2-M3_Q,249299,251519,stocking stuffers but I think it's more
99xBw2-M3_Q,251519,252900,accurate to say that these are more I
99xBw2-M3_Q,252900,254159,Told You So books if you're going to
99xBw2-M3_Q,254159,255840,give them as a gift so keep that in mind
99xBw2-M3_Q,255840,258359,there's going to be pushback okay that's
99xBw2-M3_Q,258359,260880,it for me hope everyone had a great
99xBw2-M3_Q,260880,262860,Thanksgiving and I will see you in
99xBw2-M3_Q,262860,265340,December
